region,school_short_name,hex_code
Austin,Health Professions,#EE3A80
Austin,Bluff Springs,#0079C1
Austin,Del Valle,#F87060
Austin,Kyle,#A4508B
Austin,Montopolis,#004900
Austin,Parmer Park,#4B3F72
Austin,Pflugerville,#CC5500
Austin,Round Rock Tech,#626363
Austin,Rundberg,#587B7F
Cincinnati,Homer,#EE3A80
Cincinnati,Pippin,#004900
Cincinnati,Price Hill,#CC5500
Cincinnati,Valley View,#0079C1
El Paso,Edgemere,#EE3A80
El Paso,Horizon Vista,#0079C1
El Paso,Johannsen,#F9A054
El Paso,Mesa Hills,#53B4CC
El Paso,Mesquite Hills,#A4C364
El Paso,Mission Trail,#1A4789
El Paso,Rio Vista,#C99DA3
Greater Houston Area,Aldine,#EE3A80
Greater Houston Area,Beltway 8,#0079C1
Greater Houston Area,Hardy,#F9A054
Greater Houston Area,Lake Houston,#53B4CC
Greater Houston Area,Spears,#A4C364
Jacksonville,Bassett,#EE3A80
Jacksonville,Compass,#800080
Jacksonville,Lane,#CC5500
Jacksonville,River Bluff,#0079C1
Permian Basin,Bush Center,#EE3A80
Permian Basin,IDEA Fairfield,#587B7F
Permian Basin,Travis,#CC5500
Permian Basin,Yukon,#0079C1
Permian Basin,Zeneta,#004900
Rio Grande Valley,Alamo,#EE3A80
Rio Grande Valley,Brownsville,#0079C1
Rio Grande Valley,Donna,#F9A054
Rio Grande Valley,Edinburg,#53B4CC
Rio Grande Valley,Elsa,#A4C364
Rio Grande Valley,Frontier,#1A4789
Rio Grande Valley,Harlingen,#C99DA3
Rio Grande Valley,La Joya,#626363
Rio Grande Valley,Los Encinos,#A4508B
Rio Grande Valley,McAllen,#95ADB6
Rio Grande Valley,Mission,#34E4EA
Rio Grande Valley,North Mission,#8AB9B5
Rio Grande Valley,Owassa,#04A777
Rio Grande Valley,Palmview,#ED7B84
Rio Grande Valley,Pharr,#7EB77F
Rio Grande Valley,Quest,#176087
Rio Grande Valley,Rio Grande City,#132E32
Rio Grande Valley,Riverview,#295135
Rio Grande Valley,Robindale,#F9B9F2
Rio Grande Valley,San Benito,#183A37
Rio Grande Valley,San Juan,#432534
Rio Grande Valley,Sports Park,#0C7489
Rio Grande Valley,Toros,#119DA4
Rio Grande Valley,Tres Lagos,#9B6A6C
Rio Grande Valley,Weslaco,#5F5449
Rio Grande Valley,Weslaco Pike,#386FA4
San Antonio,Brackenridge,#EE3A80
San Antonio,Burke,#0079C1
San Antonio,Carver,#F9A054
San Antonio,Converse,#53B4CC
San Antonio,Eastside,#A4C364
San Antonio,Ewing Halsell,#1A4789
San Antonio,Hidden Meadow,#C99DA3
San Antonio,Ingram Hills,#626363
San Antonio,Judson,#A4508B
San Antonio,Mays,#95ADB6
San Antonio,Monterrey Park,#34E4EA
San Antonio,Najim,#8AB9B5
San Antonio,Robinson,#04A777
San Antonio,South Flores,#ED7B84
San Antonio,Walzem,#7EB77F
Southern Louisiana,Bridge,#EE3A80
Southern Louisiana,Innovation,#0079C1
Southern Louisiana,University Prep,#F9A054
Tampa,Camden Field,#EE3A80
Tampa,Hope,#CC5500
Tampa,Ignite,#587B7F
Tampa,Lakeland,#800080
Tampa,Reynolds,#004900
Tampa,Victory,#1A4789
Tarrant County,Achieve,#EE3A80
Tarrant County,Burleson,#523249
Tarrant County,Edgecliff,#CC5500
Tarrant County,Jim Wright,#800080
Tarrant County,Rise,#004900
Tarrant County,Southeast,#1A4789
